"운영기관별(1)",2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021
"운영기관별(1)",연간승차 (천명),무임승차 (천명),영업손실 (억원),무임비용 (억원),연간승차 (천명),무임승차 (천명),영업손실 (억원),무임비용 (억원),연간승차 (천명),무임승차 (천명),영업손실 (억원),무임비용 (억원),연간승차 (천명),무임승차 (천명),영업손실 (억원),무임비용 (억원),연간승차 (천명),무임승차 (천명),영업손실 (억원),무임비용 (억원)
"합계",2577672,458910,14138,6043.0,2592113,465830,14791,6236.0,2650910,497104,14975,6620.0,1921400,358356,23441,4808.0,1970428,380198,22401,5102.0
"서울교통공사",1751579,258250,5219,3506.0,1751695,261047,5322,3540.0,1769156,273841,5324,3709.0,1282565,195690,10902,2643.0,1291497,205748,9385,2784.0
"서울메트로 9호선㈜",94831,12440,186,155.0,95773,12824,173,160.0,100296,13761,152,172.0,75741,9884,376,124.0,79081,10682,392,134.0
"서울교통공사9호선운영부문",14038,1350,0,1.7,15843,1668,0,2.1,30563,4319,0,5.4,25018,3353,0,42.0,27009,3789,0,47.0
"부산교통공사",338850,93418,3348,1248.0,336243,95673,3553,1306.0,342549,102236,3509,1396.0,246495,76635,4709,1045.0,253924,80009,4932,1090.0
"대구도시철도공사",163349,43796,2346,547.0,162837,45559,2268,569.0,167668,49140,2507,614.0,110237,33314,3287,416.0,122167,36742,3230,459.0
"인천교통공사",109366,18500,1537,250.0,112344,20057,1812,270.0,115815,21965,1836,297.0,85587,15745,2204,213.0,93295,17794,2557,240.0
"광주광역시 도시철도공사",18709,6202,701,84.0,18883,6325,747,89.0,19319,6551,756,92.0,13583,4468,818,63.0,14401,4564,871,64.0
"대전교통공사",39702,15340,528,120.0,39719,9296,554,121.0,40262,9742,570,126.0,26229,6066,735,78.0,27346,6384,733,83.0
"부산-김해 경전철(주)",18854,1072,171,15.0,18323,1041,169,15.0,18480,1041,169,15.0,12719,768,264,11.0,13550,752,254,11.0
"의정부 경량전철㈜",13731,4584,-,62.0,14296,4843,-,65.0,15127,5293,-,73.0,11369,4039,-,63.0,12218,4376,47,68.0
"용인 경량전철㈜",10087,2552,0,37.0,11005,2777,0,40.0,12074,3236,0,47.0,8407,2382,0,35.0,9293,2639,0,38.0
"우이 신설경전철(주)",4576,1406,102,17.0,15152,4720,193,59.0,16157,5316,152,66.0,12545,4197,146,52.0,13267,4474,0,56.0
"김포골드라인(주)",-,-,-,-,-,-,-,-,3444,663,0,8.0,10905,1815,0,23.0,13380,2245,0,28.0
